ids,labels,parents
INFRAESTRUTURA,INFRAESTRUTURA,
SALA,SALA,
COZINHA,COZINHA,
LAVABO,LAVABO,
BANHO 1,BANHO 1,
BANHO 2,BANHO 2,
BANHO 3,BANHO 3,
SUÍTE MASTER,SUÍTE MASTER,
DORMITÓRIO 2,DORMITÓRIO 2,
SUÍTE 3,SUÍTE 3,
DORMITÓRIO 4,DORMITÓRIO 4,
CIRCULAÇÃO,CIRCULAÇÃO,
ROUPARIA,ROUPARIA,
WC DE SERVIÇO,WC DE SERVIÇO,
TERRAÇO SOCIAL,TERRAÇO SOCIAL,
TERRAÇO DE SERVIÇO,TERRAÇO DE SERVIÇO,
INFRAESTRUTURA - ASPIRAÇÃO CENTRAL,ASPIRAÇÃO CENTRAL,INFRAESTRUTURA
AQUECEDOR À GÁS,AQUECEDOR À GÁS,INFRAESTRUTURA
INFRAESTRUTURA - FECHADURA DIGITAL,FECHADURA DIGITAL,INFRAESTRUTURA
SALA - PISO,PISO,SALA
SALA - RODAPÉ,RODAPÉ,SALA
COZINHA - PISO,PISO,COZINHA
DEMAIS PAREDES,DEMAIS PAREDES,COZINHA
PAREDE HIDRÁULICA,PAREDE HIDRÁULICA,COZINHA
RODAPÉ,RODAPÉ,COZINHA
BAGUETE,BAGUETE,COZINHA
CUBA,CUBA,COZINHA
BANCADA SIMPLES,BANCADA SIMPLES,COZINHA
BANCADA ESTENDIDA,BANCADA ESTENDIDA,COZINHA
FRONTÃO,FRONTÃO,COZINHA
METAL,METAL,COZINHA
COZINHA - AREJADOR,AREJADOR,COZINHA
LAVABO - PISO,PISO,LAVABO
LAVABO - DEMAIS PAREDES,DEMAIS PAREDES,LAVABO
LAVABO - PAREDE HIDRÁULICA,PAREDE HIDRÁULICA,LAVABO
LAVABO - RODAPÉ,RODAPÉ,LAVABO
LAVABO - BAGUETE,BAGUETE,LAVABO
LAVABO - CUBA,CUBA,LAVABO
LAVABO - BANCADA,BANCADA,LAVABO
LAVABO - METAL,METAL,LAVABO
LAVABO - AREJADOR,AREJADOR,LAVABO
LAVABO - BACIA,BACIA,LAVABO
BANHO 1 - PISO,PISO,BANHO 1
BANHO 1 - DEMAIS PAREDES,DEMAIS PAREDES,BANHO 1
BANHO 1 - PAREDES BOX,PAREDES BOX,BANHO 1
BANHO 1 - RODAPÉ,RODAPÉ,BANHO 1
BANHO 1 - BAGUETE,BAGUETE,BANHO 1
BANHO 1 - CUBA,CUBA,BANHO 1
BANHO 1 - BANCADA,BANCADA,BANHO 1
BANHO 1 - METAL,METAL,BANHO 1
BANHO 1 - AREJADOR,AREJADOR,BANHO 1
BANHO 1 - BACIA,BACIA,BANHO 1
BANHO 1 - DUCHA HIGIÊNICA,DUCHA HIGIÊNICA,BANHO 1
BANHO 1 - CHUVEIRO,CHUVEIRO,BANHO 1
BANHO 2 - PISO,PISO,BANHO 2
BANHO 2 - DEMAIS PAREDES,DEMAIS PAREDES,BANHO 2
BANHO 2 - PAREDES BOX,PAREDES BOX,BANHO 2
BANHO 2 - RODAPÉ,RODAPÉ,BANHO 2
BANHO 2 - BAGUETE,BAGUETE,BANHO 2
BANHO 2 - CUBA,CUBA,BANHO 2
BANHO 2 - BANCADA,BANCADA,BANHO 2
BANHO 2 - COMPLEMENTO,COMPLEMENTO,BANHO 2
